issue_id,page_id,section,category,severity,finding_type,finding,evidence,model_consequence,recommendation,downstream_pages,decision_required,decision_id,correction_batch,status,opened_on,resolution,validation_evidence,closed_on
ISS-0011,ELEC-002,Current Assumptions and Sensitivities,model_fidelity,major,explicit_gap,"The table presents 132 kV as a selectable sensitivity, but no 132 kV cable capacity, cost, mass, loss, switchgear or platform-interface model is defined.","The Carbon Trust source supports 132 kV as a future option and potential system savings, while the page limitation states that 132 kV is not optimised.","A model implementer cannot run the stated voltage sensitivity, and fixing 66 kV can bias designs with larger turbines or constrained feeder-bay counts.","Either remove 132 kV from executable sensitivities and label it future scope, or add a complete 132 kV parameter and interface set before using it in comparisons.","TURB-002; ELEC-003; ARCH-002; ARCH-003",false,,,open,2026-08-21,,,
ISS-0012,ELEC-002,Role and Scope,cross_page_consistency,major,cross_page_gap,"The cost owner for offshore 66 kV collection switchgear is ambiguous for the centralised-hydrogen architecture.","This page excludes offshore switchgear bays. The electrical overview assigns collection switchgear to the HVDC Converter Stations page, but that page is not used by centralised hydrogen. The electrolyser power-electronics page explicitly excludes upstream 66 kV switchgear.","Centralised-hydrogen CAPEX and equipment mass can omit the offshore collection switchgear or depend on an architecture-inapplicable page.","Assign one canonical owner for common offshore AC collection switchgear and define whether its cost and mass scale by string, bay, generation block or platform.","ARCH-003; ELEC-001; ELEC-003; H2P-005; PLAT-001",false,,,open,2026-08-21,,,
ISS-0013,ELEC-002,Public Reference Cable Data,reference_evidence,moderate,evidence_maintenance,"The ORBIT cable inputs are cited from the mutable dev branch rather than an immutable release or commit.","The reviewed files currently contain the reported current, cost and mass values, and the ORBIT changelog identifies them as 2024 USD updates. A future dev-branch change can make the page values no longer reproducible from the citation.","A reader may be unable to reconstruct the adopted input version later.","Pin the ORBIT version and commit hash used by both cable-supply and installation pages and cite immutable file URLs.","INST-003; REF-001",false,,,open,2026-08-21,,,
ISS-0014,ELEC-002,Standards and source basis,reference_evidence,moderate,evidence_maintenance,"Several citations need a stable or more precise source statement even though the underlying claims are broadly supportable.","The TenneT 2015 URL was not retrievable during review; the Prysmian bibliography points to a withdrawn annual report although an approved 3 April 2020 version exists; IEC 63026 states rated voltage up to 60 kV with Um 72.5 kV, so the blanket phrase '66 kV-class' needs precise voltage-designation wording; the live DNV page now identifies edition 2025-12.","Evidence maintenance and standard-edition ambiguity weaken long-term traceability but do not currently change the screening calculation.","Replace unstable or withdrawn links, cite exact document editions/pages, and state the cable voltage designation used when describing IEC scope.","REF-001",false,,,open,2026-08-21,,,
ISS-0015,METH-002,System Boundary and LCOE,technical_correctness,blocker,cross_page_gap,"The two architectures use different delivered products and delivery points in the LCOE denominator: grid electricity versus hydrogen HHV at a backbone connection.","METH-002 defines electricity at the onshore grid and hydrogen on an HHV basis; ARCH-001 and ARCH-005 explicitly exclude storage, reconversion, distribution and end use beyond those unequal interfaces.","EUR/MWh values are not a like-for-like end-service comparison. Ranking the carriers can change with downstream conversion, storage, demand matching and connection costs.","Choose the comparison purpose explicitly: either compare carrier-specific costs at separate interfaces without ranking them as equivalent, or extend both pathways to one common demand service and include every downstream cost and loss.","ARCH-001; ARCH-002; ARCH-003; ARCH-004; ARCH-005; METH-006",true,DEC-0003,COR-01B,closed,2026-08-21,"Defined separate Tier 1 onshore electricity and hydrogen endpoints and units and prohibited equivalent end-use ranking; aligned all architecture labels.","review/correction-validation/COR-01B.md: endpoint terms and units reconcile across six methodology and five architecture pages; full render passed.",2026-08-21
ISS-0016,METH-002,Conceptual Cost Structure,technical_correctness,major,new_finding,"The expression LCOE = C1/Yield + C2/Capacity Factor + C3 is dimensionally undefined and groups monetary costs and energy losses in one additive term.","C1-C3 have no units or normalisation basis. Dividing a capacity-linked cost by a dimensionless capacity factor does not produce EUR/MWh without rated capacity and annual hours, while a conversion loss cannot be added directly to a monetary cost.","Readers can implement or interpret a relationship that is not dimensionally reproducible, obscuring the actual dependency between capacity-rated assets and delivered energy.","Replace the expression with the auditable annual-cost equation and a separate delivered-energy equation. If a conceptual decomposition is retained, define each term so every addend has EUR/MWh units.","METH-001; METH-004",false,,COR-01B,closed,2026-08-21,"Removed the C1/C2/C3 expression and replaced it with dimensionally explicit capital-intensity and carrier-cost equations linked to annual cost and delivered energy.","review/correction-validation/COR-01B.md: automated unit-basis checks and full render passed.",2026-08-21
ISS-0017,METH-002,System Boundary,cross_page_consistency,blocker,cross_page_gap,"The claimed lifecycle cost boundary includes common development, financing and decommissioning activities, but no page owns or parameterises several of those cost categories.","ARCH-001 says lifecycle activities are included and ARCH-002 to ARCH-004 retain common development and financing costs. ARCH-005 says those costs are represented elsewhere, but the repository has no canonical development-cost owner and installation pages explicitly exclude development, insurance, owner contingency and decommissioning.","The numerator cannot be closed consistently and omissions may differ by architecture if residual package factors are used elsewhere.","Add a project-cost scope matrix with a canonical owner and treatment for development, engineering, insurance, construction finance, contingency, commissioning, decommissioning and any excluded categories. Do not call an item included until it has an owner or explicit zero/exclusion decision.","ARCH-001; ARCH-002; ARCH-003; ARCH-004; ARCH-005; INST-001; INST-002; INST-003; INST-004",false,,COR-01B,closed,2026-08-21,"Added a canonical cost-scope matrix: component and installation owners are explicit; METH-003 owns shared fields and decommissioning; financing taxes and fees are explicitly excluded; unresolved required fields return not parameterized.","review/correction-validation/COR-01B.md: ownership and missing-input behavior reconcile across methodology and architecture pages; full render passed.",2026-08-21
ISS-0018,METH-003,Annualisation,cost_input,major,explicit_gap,"The 6.6% real WACC is an unsupported carried assumption and its tax, financing and architecture scope are not defined.","The page labels the value as a TODO. It does not state pre-tax versus post-tax treatment, whether the same financing applies to all carrier-specific assets, or a sensitivity range. Published cost-of-capital evidence is basis-sensitive.","WACC directly affects every annualised CAPEX term and may bias architectures with different capital intensity or asset risk.","Select a documented real WACC convention with tax and financing scope, establish a base case and range, and test architecture-specific financing only if evidence supports the distinction.","METH-002; all cost pages",true,DEC-0004,COR-01B,open,2026-08-21,"COR-01B now identifies 6.6% as one provisional project-wide real assumption and explicitly excludes tax debt and construction-finance timing; the evidence basis and sensitivity range remain unresolved.","review/correction-validation/COR-01B.md confirms the scope and arithmetic; issue remains open pending evidence and sensitivity.",
ISS-0019,METH-003,Annualisation,implementation_readiness,blocker,explicit_gap,"The simple CRF treatment does not define how component replacements, different lifetimes, decommissioning and residual value enter annual cost.","The page explicitly says these items require discounted cash-flow terms but supplies no equation or timing convention. H2P-003 already states at least one stack replacement within the 25-year project and calculates replacement cost.","Annual cost and LCOE are incomplete and can materially misstate architectures with short-lived stacks or different replacement profiles.","Define a real discounted-cash-flow annualisation equation with expenditure timing, replacement count, residual value and decommissioning treatment, then derive an equivalent annual cost on the common project basis.","H2P-003; METH-002; all cost pages",true,DEC-0004,COR-01B,closed,2026-08-21,"Implemented the approved simplified alternative: explicit replacement counts within 25 years, zero residual value, decommissioning at 80% of offshore installation CAPEX and one lifecycle capital basis annualized by CRF without timing discounts.","review/correction-validation/COR-01B.md: CRF and 25/10/5-year replacement cases reproduce; full render passed.",2026-08-21
ISS-0020,METH-004,Scenario Parameters,cross_page_consistency,blocker,cross_page_gap,"Stack overplanting, pipeline pressure and pipeline selection are classified as scenario parameters on METH-004 but as optimisation variables on METH-005.","The two adjacent methodology pages assign the same quantities to mutually exclusive roles. The hydrogen infrastructure overview also says pressure, diameter and pipeline count are optimised jointly.","Implementers can hold a quantity fixed, sweep it externally or optimise it internally and obtain different design sets and reported optima.","Create one canonical variable taxonomy. For each quantity define whether it is fixed, scenario-controlled, enumerated design variable or derived result; distinguish base-case sweeps from optimisation variables.","METH-005; H2I-001; H2I-005",true,DEC-0005,COR-01B,closed,2026-08-21,"Published one taxonomy of user inputs fixed parameters derived quantities and outputs; overplanting pressure and pipeline class are deterministic user inputs and alternative cases are supplied externally.","review/correction-validation/COR-01B.md: methodology pages and input register use the same classifications; full render passed.",2026-08-21
ISS-0021,METH-004,Modelling Workflow,implementation_readiness,blocker,new_finding,"The workflow names input classes and outputs but does not specify an executable calculation sequence, time resolution, feasibility filtering or result-selection process.","No page-level algorithm connects wind time series, layout, component sizing, dispatch/curtailment, availability, annual energy, annual cost and comparison output. There is also no rule for failed or infeasible designs.","An independent implementer cannot reproduce the integrated model even when component equations are available.","Document the model execution order and data contract, including temporal resolution, architecture branching, constraint checks, discrete equipment selection, infeasible-case handling, annual aggregation and output records.","all model pages",false,,COR-01B,closed,2026-08-21,"Defined the eleven-step deterministic execution order from case validation through physical inventory energy availability cost annualization and reporting, with feasible infeasible and not-parameterized return states.","review/correction-validation/COR-01B.md: required stages and return-state behavior pass source checks; full render passed.",2026-08-21
ISS-0022,METH-005,Optimisation Variables,implementation_readiness,blocker,new_finding,"The optimisation problem is not mathematically specified: variable bounds and grids, constraints, objective evaluation and treatment of the cost-versus-density trade-off are absent.","The page states that variables are outcomes of system cost minimisation while also describing an areal-yield trade-off. It lists only some variables and provides no feasible ranges, discretisation, Pareto-dominance rule or tie-breaking convention.","Different searches can return different 'optimal' designs and can omit material discontinuities or infeasible regions.","Define the design vector, scenario vector, bounds, discrete sets, feasibility constraints and output-selection rule. If cost and areal yield are co-objectives, report a non-dominated frontier rather than a single cost optimum unless the scenario supplies a constraint or weighting.","METH-004; WIND-003; ELEC-003; H2I-005",true,DEC-0005,COR-01B,closed,2026-08-21,"Removed the optimization claim and repurposed METH-005 as the deterministic input parameter derived-quantity and output contract; no internal search or result selection remains.","review/correction-validation/COR-01B.md: published methodology contains only explicit no-optimizer statements and one-case return behavior; full render passed.",2026-08-21
ISS-0023,METH-005,Electricity Variables,reference_evidence,major,new_finding,"The 2 GW HVDC block is introduced without a citation or the executable link-count and part-utilisation rule on the methodology page.","METH-005 states the 2 GW assumption without a source. ELEC-004 contains a ceiling-based link-count equation and the electrical pages cite the TenneT standard, but the optimisation page does not identify that canonical implementation or define how partially used final blocks are costed and dispatched.","The core discrete threshold can be implemented inconsistently or smoothed away in the optimisation.","Link to the canonical sourced equation, define the exact rating and link-count rule, and state how partial final-block utilisation, curtailment and infeasibility are treated.","ELEC-003; ELEC-004; ARCH-002",false,,COR-01B,closed,2026-08-21,"Classified 2 GW/link as a fixed sourced parameter cited at use and delegated link count partial utilization curtailment and feasibility to the linked canonical electrical pages.","review/correction-validation/COR-01B.md: citation resolves and component links pass; full render passed.",2026-08-21
ISS-0024,METH-006,Availability Treatment,cross_page_consistency,blocker,cross_page_gap,"Availability has no canonical architecture mapping or combination rule and the shared table conflicts with component values.","METH-006 gives 98.5% for the electrolyser, while H2P-003 says stack availability is 99.5% throughout the study. The shared page does not say whether stack, BOP, power electronics and platform availability are bundled or multiplied, nor how partial-capacity states replace flat factors.","Annual delivered energy can be double-derated, under-derated or calculated differently by independent implementations.","Define one availability ledger per architecture with owner, boundary, combination/replacement rule and explicit removal of flat factors when state-based models are used. Reconcile 98.5% versus 99.5%.","H2P-003; H2P-004; H2P-005; ELEC-002; ELEC-003; ELEC-004; H2I-002; H2I-003; H2I-004",true,DEC-0006,COR-01B,closed,2026-08-21,"Added one side-by-side architecture ledger with component owners non-overlapping boundaries annual product rule redundancy treatment and embedded-derating exclusion; conflicting legacy values are explicitly not adopted.","review/correction-validation/COR-01B.md: architecture ledger ownership and no-double-derating rules pass source checks; full render passed.",2026-08-21
ISS-0025,METH-006,Availability Treatment,reference_evidence,major,explicit_gap,"Most shared availability factors are uncited assumptions with no derivation or sensitivity, including 100% pipeline availability.","The table supplies ten factors without citations. Component pages label several as legacy or modelling conventions; the infield cable pilot already records the unsupported 99.0% factor in ISS-0010.","Availability multiplies annual energy directly, and unsupported differences between electricity and hydrogen can predetermine the comparison.","For each factor provide evidence or calibration, an architecture-specific scope and sensitivity. Retain 100% pipeline availability only as a transparent zero-outage scenario, not as a reliability result.","all energy-producing and transport pages",false,,COR-01B,open,2026-08-21,"COR-01B removed unsupported legacy factors from the active ledger and defined their owners; required factors remain unresolved and 100% is permitted only as an explicit zero-outage scenario.","review/correction-validation/COR-01B.md confirms no unresolved factor is silently mapped to 1.0; issue remains open for component evidence and sensitivities.",
ISS-0026,METH-006,Energy Basis,reference_evidence,moderate,new_finding,"The hydrogen HHV value of 39.4 kWh/kg is technically correct but uncited at its point of introduction.","The page provides no citation. A U.S. DOE/NREL technical source reports HHV 39.42 kWh/kg and LHV 33.31 kWh/kg, confirming the rounded value.","The calculation is reproducible but does not meet the project's traceability rule for model-relevant numbers.","Cite a stable primary or authoritative thermochemical source, state the reference condition and preserve the rounded 39.4 kWh/kg convention consistently.","H2I-004; METH-002",false,,COR-01B,closed,2026-08-21,"Added the official DOE/NREL report to references.bib and cited 39.42 kWh/kg and its liquid-water HHV basis at the rounded 39.4 kWh/kg input.","review/correction-validation/COR-01B.md: citation resolves and 39.4 kWh/kg conversion reproduces; full render passed.",2026-08-21
ISS-0027,ARCH-003,Integrated Offshore Platform Boundary,implementation_readiness,blocker,cross_page_gap,"The one-platform centralised-hydrogen definition has no capacity, multiplicity or feasibility rule, and its material CAPEX and hosted-equipment mass are unresolved.","ARCH-003 fixes one physical platform while METH-004 permits varying turbine count. PLAT-001 requires platform count and hosted-equipment mass but explicitly has no adopted mass-to-CAPEX relationship and no closed mass inventory.","Centralised-hydrogen designs cannot be screened for platform feasibility or assigned a complete platform cost as farm capacity changes.","Define the capacity range over which one integrated platform is the architecture, the rule when that range is exceeded, and the mass/cost interface required from component pages. Preserve platform-count discontinuities.","PLAT-001; INST-004; METH-005",true,DEC-0007,,needs_decision,2026-08-21,,,
ISS-0028,ARCH-003,Onshore hydrogen-backbone connection,cross_page_consistency,major,cross_page_gap,"The onshore hydrogen-backbone connection is included as a delivery interface but has no canonical component model or cost boundary.","ARCH-003, ARCH-004 and ARCH-005 link the connection to H2I-001, which describes compression and pipelines but does not define metering, pressure control, purification specification, connection equipment, tariff or CAPEX/OPEX. Downstream conditioning is only generically excluded.","Hydrogen delivery cost and technical acceptance at the stated endpoint may omit a material interface or overlap with pipeline/compressor scope.","Create or assign a canonical connection-interface owner and define required pressure, purity, metering, valves, landfall/terminal equipment, CAPEX/OPEX and exclusions.","ARCH-004; ARCH-005; H2I-001; H2I-003; H2I-004",false,,,open,2026-08-21,,,
ISS-0029,ARCH-004,Architecture Interfaces,implementation_readiness,blocker,cross_page_gap,"The decentralised architecture has no owner for the export manifold and header-to-export connections.","H2I-002 explicitly excludes the export manifold and header-to-export connections from its length result. ARCH-004 and ARCH-005 include hydrogen collection and export pipeline but do not identify this connecting equipment as a component or assign its pressure loss, material, installation, cost or availability.","The physical network is not closed between the infield headers and export pipeline, so quantities, losses and costs are incomplete.","Add the manifold/interface as an explicit component or extend one existing owner's boundary; define connection count, sizing, pressure loss, material/mass, installation and cost treatment.","ARCH-005; H2I-002; H2I-004; INST-003",false,,,open,2026-08-21,,,
ISS-0030,ARCH-005,Physical Component Mapping,site_structure,moderate,new_finding,"The scope-control matrix covers physical energy equipment well but does not map common lifecycle cost categories or unresolved non-equipment interfaces.","The page asserts that common development and financing scopes are represented elsewhere, yet supplies no owner rows. It also omits the decentralised export manifold and has only a generic owner for the hydrogen backbone connection.","The matrix cannot yet serve as a complete double-counting and omission control for the LCOE numerator.","Extend the mapping with a separate economic-scope table covering common project costs, replacements, decommissioning and interface facilities, with an explicit owner or exclusion decision for each.","METH-002; METH-003; ARCH-002; ARCH-003; ARCH-004",false,,,open,2026-08-21,,,
ISS-0031,WIND-002,Source Basis,reference_evidence,blocker,explicit_gap,"The wind series cannot be independently reacquired from DOWA because extraction metadata are missing.","The legacy workbook has 87601 consecutive records but no grid point height source filename release/version timezone or direction convention and ends 72 hours before the stated official period.","All energy and wake results depend on an input whose site and operating basis cannot be verified or reproduced.","Recover and record the exact DOWA extraction and period or select and freeze a new controlled source series with justification.","WIND-003; METH-006; all architectures",false,,,open,2026-08-21,,,
ISS-0032,WIND-002,Direction Sectors,technical_correctness,blocker,new_finding,"The lower edge of each 30-degree sector is passed to the wake model as its representative direction.","The fitting script stores 0 for observations from 0 to below 30 degrees and PyWake consumes the stored labels. The representative centre is 15 degrees higher.","Wake alignment and the interaction with the fixed layout rotation are systematically shifted by 15 degrees.","Use circular centre-labelled bins or add 15 degrees before wake evaluation and regenerate and validate all dependent yield outputs.","WIND-003; METH-006",false,,,open,2026-08-21,,,
ISS-0033,WIND-002,Numerical Use,model_fidelity,major,explicit_gap,"The directional Weibull reduction and the two wind-speed integration grids have not been validated against the empirical hourly distribution or each other.","The page uses a 0.5 m/s PyWake grid and a 0.25 m/s midpoint hydrogen grid and itself requests an empirical-versus-fitted AEP check.","Distribution or quadrature error can be mistaken for an architecture energy difference.","Report empirical-hourly versus Weibull AEP and convergence/reconciliation results with an acceptance tolerance before adoption.","WIND-003; METH-006; H2P-003",false,,,open,2026-08-21,,,
ISS-0034,WIND-003,Layout Area,implementation_readiness,blocker,new_finding,"Farm area has no boundary or setback convention even though areal yield is a core objective.","The regular grid places coordinates on a bounding rectangle but does not state whether the modelled area includes half-spacing edge margins lease setbacks or excluded zones.","The same layout can be assigned different area and cost-density values and downstream route lengths.","Define the functional area polygon and edge-margin convention and assert every turbine lies in the permitted area.","METH-005; ELEC-002; H2I-002",true,DEC-0008,,needs_decision,2026-08-21,,,
ISS-0035,WIND-003,Spacing Feasibility,technical_correctness,blocker,explicit_gap,"Layouts below the stated minimum turbine spacing are only warned about rather than rejected.","The page identifies 3D as a screening minimum but allows the calculation and optimisation to continue and provides no evidence for that threshold.","The optimiser can select physically invalid high-density cases because they appear to minimise area or infrastructure.","Adopt an evidenced screening constraint and return infeasible before wake cost and optimisation evaluation.","METH-005; ELEC-002; H2I-002",true,DEC-0008,,needs_decision,2026-08-21,,,
ISS-0036,WIND-003,Turbine Definition,cross_page_consistency,major,cross_page_gap,"The wake-model turbine curve and hub height are not the canonical turbine defined on TURB-002.","WIND-003 uses a synthetic 15 MW 236 m power/Ct table and 150 m hub height; TURB-002 defaults to 133 m at 236 m rotor diameter and does not own the synthetic wake curve.","Wake loss gross yield and structural/cost calculations describe different turbines.","Create one controlled turbine-definition record for both pages including rotor hub height and power/Ct curves and regenerate dependent results.","TURB-002; METH-006",false,,,open,2026-08-21,,,
ISS-0037,WIND-003,Wake Configuration,reference_evidence,major,new_finding,"Layout orientation turbulence intensity and the PyWake configuration are not evidenced version-pinned or benchmarked.","The page uses 30 degrees TI 0.058 and TurboNOJ/PropagateDownwind settings without a source calibration or reported benchmark.","Outcome-driving wake loss can change with undocumented software versions and arbitrary fixed inputs.","Document the source/role of each input pin the environment and benchmark or sensitivity-test the configuration including orientation.","METH-005; METH-006",true,DEC-0008,,needs_decision,2026-08-21,,,
ISS-0038,TURB-002,Electrical Equipment Additions,implementation_readiness,blocker,explicit_gap,"Architecture-specific turbine electrical equipment has no complete quantitative mass and cost ledger.","Converter switchgear protection internal cable and DC-link masses/costs are explicitly unresolved and the direct-DC retained equipment is not quantified.","Complete turbine mass CAPEX lifts foundation mass and decentralised architecture cost cannot be calculated.","Define mutually exclusive conventional and direct-DC component ledgers with mass cost loss dimensions and owner for every retained removed or added item.","TURB-003; H2P-002; INST-002; METH-002",true,DEC-0009,,needs_decision,2026-08-21,,,
ISS-0039,TURB-002,Cost Calibration,cost_boundary,major,new_finding,"The rule for applying architecture component substitutions to calibrated RNA cost is ambiguous.","The NREL RNA calibration can include commercial electrical supply scope while the page proposes removing/replacing named electrical components without stating whether deltas use raw or calibrated costs.","Electrical items can be double counted omitted or receive an unsupported calibration multiplier.","Define the calibration boundary and apply architecture deltas with one explicit before/after-calibration equation and scope ledger.","H2P-002; METH-002; ARCH-005",true,DEC-0009,,needs_decision,2026-08-21,,,
ISS-0040,TURB-002,Tower Mass,model_fidelity,major,explicit_gap,"The length-only tower surrogate cannot respond to architecture-induced equipment mass or load changes.","The page acknowledges that lighter/heavier nacelle changes cannot feed back through the WISDEM tower regression.","Architecture foundation/tower mass credits may be omitted or claimed inconsistently.","Either adopt a bounded load-responsive surrogate with supported inputs or explicitly grant no tower-mass credit and test a sensitivity.","TURB-003; INST-002",false,,,open,2026-08-21,,,
ISS-0041,TURB-003,Monopile Mass,model_fidelity,major,new_finding,"The monopile surrogate treats supported static mass and depth as the only drivers and its validation is confounded by changing turbine/load cases.","The three comparison designs vary rotor power loading and depth together; agreement does not isolate linear response to supported mass. Soil thrust dynamics and fatigue are omitted.","Architecture equipment-mass differences can receive unsupported linear foundation-mass credits.","Choose a bounded surrogate with load/soil classes or adopt a no-credit rule for architecture mass deltas until stronger evidence is available.","TURB-002; INST-002",true,DEC-0010,,needs_decision,2026-08-21,,,
ISS-0042,TURB-003,Monopile Supply Cost,reference_evidence,major,new_finding,"The USD per tonne cost is derived by pairing cost and mass from different reference designs without showing matched scope.","The NREL 250-350 USD2022/kW range is divided by a BVG 1850 t example with different design/source basis.","The resulting cost factor may mix fabrication scope turbine rating site and transition-piece treatment.","Use a matched mass-and-cost source or retain a top-down per-kW range and make the unmatched conversion a sensitivity only.","METH-002; INST-002",false,,,open,2026-08-21,,,
