input_id,page_id,symbol,name,value_or_equation,unit,input_class,source_citation,source_location,price_year,currency,scope,normalisation,uncertainty,downstream_consumers,verification_status,issue_ids,notes
INP-0018,ELEC-002,c_185,ORBIT 185 mm2 cable procurement rate,219,EUR2025/m,derived_result,"orbit2026Cable185; bls2024CPI; bls2025CPI; ecb2025USDEUR",Public Reference Cable Data,2025,EUR,Cable procurement input; exact accessory boundary not stated,"241542 USD2024/km x 0.9082413 EUR2025/USD2024",General CPI-U mismatch,"supply CAPEX",verified,"ISS-0007; ISS-0013",Calculated value is 219.38 EUR2025/m before rounding
INP-0019,ELEC-002,I_630,ORBIT 630 mm2 cable current rating,775,A,sourced_input,orbit2026Cable630,Public Reference Cable Data,2024,USD,ORBIT screening cable,None,"Burial-depth basis needs a supporting method citation","cable selection; string segment capacity",partially_verified,ISS-0013,
INP-0020,ELEC-002,m_630,ORBIT 630 mm2 cable linear mass,42.5,t/km,sourced_input,orbit2026Cable630,Public Reference Cable Data,2024,USD,ORBIT screening cable,None,Product-specific,"installation loading; supply inventory",verified,ISS-0013,
INP-0021,ELEC-002,c_630,ORBIT 630 mm2 cable procurement rate,590,EUR2025/m,derived_result,"orbit2026Cable630; bls2024CPI; bls2025CPI; ecb2025USDEUR",Public Reference Cable Data,2025,EUR,Cable procurement input; exact accessory boundary not stated,"650000 USD2024/km x 0.9082413 EUR2025/USD2024",General CPI-U mismatch,"supply CAPEX",verified,"ISS-0007; ISS-0013",Calculated value is 590.36 EUR2025/m before rounding
INP-0022,ELEC-002,V_array_future,Future array-system voltage option,132,kV,unresolved_input,carbonTrust2022HighVoltageArrays,Current Assumptions and Sensitivities,,,Future fixed-bottom array network,None,No component parameter set supplied,"cable capacity; cost; loss; switchgear; platform",unsupported,ISS-0011,Not currently executable as a sensitivity
INP-0023,METH-003,,Canonical monetary basis,2025,year,modelling_assumption,,Canonical Monetary Basis,2025,EUR,All costs combined in model results,None,Requires source-specific restatement,"all component CAPEX and OPEX",not_applicable,,Convention is clear
INP-0024,METH-003,FX_EUR/USD_2025,ECB annual-average exchange rate,1/1.1300,EUR/USD,sourced_input,ecb2025USDEUR,Currency and Price-Year Normalisation,2025,EUR/USD,USD costs converted after source-currency escalation,None,Annual-average convention,"all USD cost inputs",verified,,ECB dataset and arithmetic checked
INP-0025,METH-003,G_market,Geographic-market adjustment,1.0,dimensionless,modelling_assumption,,Currency and Price-Year Normalisation,2025,,Separately evidenced market adjustment only,None,May differ only with scoped evidence,"normalised component costs",verified,,Default avoids unsupported generic uplifts
INP-0026,METH-003,r,Real weighted average cost of capital,6.6%,1/year,modelling_assumption,,Annualisation,,,Whole project real discount basis,None,Evidence and sensitivity range unresolved,"CRF; annualised CAPEX; LCOE",unsupported,ISS-0018,Provisional base value retained by DEC-0004
INP-0027,METH-003,n,Project economic lifetime,25,year,modelling_assumption,,Project Financial Assumptions,,,Whole project,None,Universal screening convention,"CRF; replacements; decommissioning; annual cost",not_applicable,,DEC-0004 fixes 25 years and zero residual value at the project endpoint
INP-0028,METH-003,CRF,Capital recovery factor,"r(1+r)^n/((1+r)^n-1) = 0.0827414",1/year,derived_result,,Capital Recovery Factor,,,Lifecycle capital basis,None,Simple CRF without timing discount,"annualised capital; carrier cost",verified,,Arithmetic independently reproduced for r=6.6% and n=25 years
INP-0029,METH-003,m_markup,Manufactured-to-purchased equipment markup,1.5,dimensionless,modelling_assumption,badgett2024PEMCost,Manufactured-Cost Markup,2025,EUR,"Selected NREL PEM stack BOP and power-electronics manufactured costs",Applied before project installation and soft costs,No evidence range,"H2P-003; H2P-004; H2P-005",unsupported,,Source defines manufactured boundary but not markup
INP-0030,METH-005,A_site,Site boundary or declared area,user-supplied case,km2,scenario_input,,Master User-Input Contract,,,Site and layout record,None,Boundary and admissible range owned by WIND-003,"layout; areal yield",not_checked,ISS-0034,Must be part of one unambiguous layout definition
INP-0031,METH-005,N_turb,Turbine count,user-supplied within declared layout record,count,scenario_input,,Master User-Input Contract,,,Farm design,None,Role depends on adopted layout method,"layout; farm capacity; networks",not_checked,"ISS-0034; ISS-0035",Must not conflict with an independently supplied spacing or coordinate record
INP-0032,METH-005,a,Architecture,"electricity; centralised hydrogen; decentralised hydrogen",category,scenario_input,,Master User-Input Contract,,,Complete model branch,None,Three pure Tier 1 architectures,"component inclusion; workflow branch",verified,,Architecture definitions are clear
INP-0033,METH-005,f_stack,Hydrogen stack overplant factor,user-supplied case,dimensionless,scenario_input,,Master User-Input Contract,,,Hydrogen configurations,None,Admissible range unresolved,"stack sizing; efficiency; CAPEX",not_checked,ISS-0048,Deterministic user input; not optimized internally
INP-0034,METH-005,p_pipe,Hydrogen operating pressure,user-supplied case,bar,scenario_input,,Master User-Input Contract,,,Hydrogen system with inlet/outlet basis,None,Admissible range and coupled compression basis unresolved,"compression; pipeline capacity; pipeline cost",not_checked,"ISS-0079; ISS-0084; ISS-0085",Deterministic user input; not optimized internally
INP-0035,METH-005,D_pipe,Hydrogen pipeline product class,user-supplied discrete record,class,scenario_input,,Master User-Input Contract,,,Hydrogen pipeline system,None,Qualified product set unresolved,"pipeline count; capacity; cost",not_checked,"ISS-0086; ISS-0088",Deterministic user input; not optimized internally
INP-0036,METH-005,P_HVDC_block,HVDC reference-link rating,2,GW/link,modelling_assumption,"tennet2024TwoGWProgram; tennet2025TwoGWStandard",Shared Fixed Parameters,,,TenneT reference link,None,Link count and partial-use behavior remain component-owned,"HVDC link count; export constraint; CAPEX",verified,,Sourced at point of use and linked to ELEC-003/004
INP-0037,METH-006,HHV_H2,Hydrogen higher heating value,39.4,kWh/kg,sourced_input,nrel2009ElectrolysisCost,Energy Basis,,,Hydrogen landed mass converted to HHV energy,None,"Rounded from 39.42 kWh/kg; liquid-water combustion product","hydrogen annual energy; EUR/MWh and EUR/kg conversion",verified,,Authoritative source cited at point of introduction
INP-0038,METH-006,A_turb_e,Electricity-architecture turbine subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Non-overlapping turbine generation subsystem,None,Legacy 98.0% is not adopted without evidence,"annual delivered electricity",unsupported,ISS-0025,Component owner must supply scoped annual subsystem factor
INP-0039,METH-006,A_array,AC infield collection subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Electricity and centralised-hydrogen AC collection,None,Legacy 99.0% is not adopted without evidence,"annual delivered electricity and hydrogen",unsupported,"ISS-0010; ISS-0025",Component owner must supply architecture-applicable factor
INP-0040,METH-006,A_station,Generic integrated-station availability,not adopted,dimensionless,unresolved_input,,Legacy Availability Values,,,Generic platform/station factor,None,Legacy 98.0% boundary overlaps component subsystems,"none until non-overlapping scope is defined",unsupported,ISS-0025,Replaced by explicit architecture-ledger subsystem rows
INP-0041,METH-006,A_HVDC,HVDC export subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,HVDC export system,None,Legacy 99.0% is not adopted without evidence,"annual delivered electricity",unsupported,ISS-0025,Component owner must supply scoped annual subsystem factor
INP-0042,METH-006,A_onshore,Onshore electrical-conversion availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Onshore electrical conversion inside endpoint,None,Legacy 98.0% is not adopted without evidence,"annual delivered electricity",unsupported,ISS-0025,Component owner must supply scoped annual subsystem factor
INP-0043,METH-006,A_turb_h,Integrated turbine-hydrogen subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Decentralised integrated production boundary,None,Legacy 98.5% boundary unresolved,"annual delivered hydrogen",unsupported,ISS-0025,Joint owner must prevent turbine and electrolyser double derating
INP-0044,METH-006,A_elx,Central electrolyser production subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Central stack BOP and power-electronics boundary,None,Legacy 98.5% conflicts with 99.5% stack claim,"annual hydrogen production",unsupported,ISS-0025,No legacy value is adopted by COR-01B
INP-0045,METH-006,A_comp,Compression subsystem availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Architecture-specific compression system,None,Legacy 99.0% is not adopted without evidence,"annual delivered hydrogen",unsupported,ISS-0025,Parallel-unit or redundancy effects must be pre-combined
INP-0046,METH-006,A_H2_infield,Hydrogen infield-collection availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Decentralised hydrogen infield network,None,100% may be a zero-outage scenario only,"annual delivered hydrogen",unsupported,ISS-0025,Not an evidence-backed reliability result
INP-0047,METH-006,A_H2_export,Hydrogen export-system availability,unresolved,dimensionless,unresolved_input,,Side-by-Side Architecture Ledger,,,Centralised and decentralised export pipelines,None,100% may be a zero-outage scenario only,"annual delivered hydrogen",unsupported,ISS-0025,Not an evidence-backed reliability result
INP-0048,H2P-003,A_stack,PEM stack availability,99.5%,dimensionless,modelling_assumption,,Availability,,,PEM stack,None,No sensitivity,"annual hydrogen production",unsupported,"ISS-0024; ISS-0025",Conflicts with shared 98.5% electrolyser value
INP-0049,WIND-002,"v_t; theta_t",Legacy hourly wind series,"87601 records; 2008-01-01 to 2017-12-29",m/s and degree,sourced_input,@dutchOffshoreWindAtlas,Source Basis,,,Unidentified DOWA extraction,None,Missing final 72 hours and extraction metadata,"sector fits; all energy",partially_verified,ISS-0031,Workbook continuity and columns independently checked
INP-0050,WIND-002,Delta_theta,Direction-sector width,30,degree,modelling_choice,,Direction Sectors,,,All directions,None,Fixed,"p_s; k_s; c_s",verified,ISS-0032,Stored labels are lower edges
INP-0051,WIND-002,p_s,Directional probability vector,"0.0340;0.0630;0.0501;0.0498;0.0595;0.0570;0.1135;0.1703;0.1317;0.0868;0.0812;0.0678",dimensionless,derived_result,,Fitted Legacy Inputs,,,Legacy wind series,None,Sampling uncertainty not reported,WIND-003,verified,"ISS-0031; ISS-0032; ISS-0033",Matches fitted CSV within rounding
INP-0052,WIND-002,k_s,Weibull shape vector,"2.004;2.322;2.147;1.924;1.845;1.969;2.383;2.500;2.306;2.163;2.182;2.173",dimensionless,derived_result,,Fitted Legacy Inputs,,,Legacy wind series,None,Fit uncertainty not reported,WIND-003,verified,"ISS-0031; ISS-0033",Sector order 0 to 330 degrees by 30
INP-0053,WIND-002,c_s,Weibull scale vector,"9.607;9.824;8.866;8.717;9.158;10.598;13.229;14.151;12.545;10.731;10.171;9.951",m/s,derived_result,,Fitted Legacy Inputs,,,Legacy wind series,None,Fit uncertainty not reported,WIND-003,verified,"ISS-0031; ISS-0033",Sector order 0 to 330 degrees by 30
INP-0054,WIND-002,Delta_v_wake,PyWake wind-speed step,0.5,m/s,numerical_assumption,,Numerical Use,,,0 to 30 m/s,None,Convergence not reported,"WIND-003 power/AEP",not_validated,ISS-0033,
INP-0055,WIND-002,Delta_v_H2,Hydrogen-yield wind-speed step,0.25,m/s,numerical_assumption,,Numerical Use,,,Midpoints from 0 to 40 m/s,None,Convergence and reconciliation not reported,H2P-003,not_validated,ISS-0033,
INP-0056,WIND-003,D_wake,Wake-model rotor diameter,236,m,model_input,,Turbine definition,,,Synthetic 15 MW turbine,None,Conflicts with controlled reference,"layout; wakes",inconsistent,ISS-0036,
INP-0057,WIND-003,H_h_wake,Wake-model hub height,150,m,model_input,,Turbine definition,,,Synthetic 15 MW turbine,None,Conflicts with TURB-002 default,wakes,inconsistent,ISS-0036,
INP-0058,WIND-003,TI,Ambient turbulence intensity,0.058,dimensionless,modelling_assumption,,Wake model configuration,,,All layouts,None,No sensitivity,wake losses,unsupported,ISS-0037,
INP-0059,WIND-003,phi,Layout orientation,30,degree,modelling_assumption,,Layout definition,,,All layouts,None,Not varied,"coordinates; wake loss",unsupported,ISS-0037,
INP-0060,WIND-003,s_min,Minimum turbine spacing,3,rotor diameters,feasibility_assumption,,Spacing Feasibility,,,All layouts,None,Threshold unsupported and not enforced,layout feasibility,unsupported,ISS-0035,
INP-0061,WIND-003,"P(v); C_T(v)",Synthetic power and thrust curves,"15 MW rated; Ct about 0.8 from 3 to 25 m/s",MW and dimensionless,modelling_assumption,,Turbine Definition,,,Wake turbine,None,Not benchmarked,"gross power; wakes",unsupported,ISS-0036,Power reaches rated around 11.5 m/s despite nominal 12 m/s statement
INP-0062,TURB-002,"P; D; H_h",Turbine design inputs,scenario values,"MW; m; m",design_input,,Parametric Inputs,,,One turbine,None,Design range not specified,"component masses; costs",not_applicable,ISS-0036,
INP-0063,TURB-002,h_clear,Default lower-tip clearance,15,m,modelling_assumption,,Parametric Inputs,,,Mean-sea-level clearance,None,Site sensitivity absent,"hub height; tower length",unsupported,ISS-0036,
INP-0064,TURB-002,v_tip,Maximum tip speed,95,m/s,modelling_assumption,@gaertner2020IEA15,Fixed Model Assumptions,,,Direct-drive turbine,None,Fixed,"rated speed; torque",verified,,Consistent with IEA 15 MW reference
INP-0065,TURB-002,eta,Drivetrain efficiency,0.95,dimensionless,modelling_assumption,,Fixed Model Assumptions,,,Rated torque calculation,None,No sensitivity,rated torque,unsupported,,
INP-0066,TURB-002,revision,WISDEM source revision,584c39191b61ab2654c1f1fab2871e0f5bec4064,git revision,sourced_implementation,@wisdemSource2026,Role and Scope,,,WISDEM CSM,None,Pinned,"all turbine equations",verified,,
INP-0067,TURB-002,c_turb_ref,Reference turbine CAPEX,1700,USD2022/kW,sourced_input,@stehly2023CostWind,Cost Calibration,2022,USD,12 MW offshore turbine,Convert through METH-003,Source-range uncertainty,"RNA/tower calibration",verified,ISS-0039,"Split 1462 RNA and 238 tower"
INP-0068,TURB-002,m_turb_example,Known-component turbine mass,1552.8,t,derived_result,,Worked Example,,,15 MW 236 m turbine,None,Electrical items excluded,TURB-003,verified,ISS-0038,
INP-0069,TURB-002,C_turb_example,Calibrated turbine supply cost,25.783,USD2022 million,derived_result,,Worked Example,2022,USD,Known-component 15 MW turbine,Convert through METH-003,Electrical boundary incomplete,LCOE,verified,"ISS-0038; ISS-0039",
INP-0070,TURB-003,"m_MP_ref; m_top_ref; d_ref",Foundation surrogate anchors,"1318;1877;30","t; t; m",sourced_input,@gaertner2020IEA15,Monopile Mass,,,IEA 15 MW reference,None,Reference scope uncertainty,monopile mass,partially_verified,ISS-0041,
INP-0071,TURB-003,m_MP,Monopile mass equation,"1318*(m_top/1877)*(d/30)",t,model_equation,,Monopile Mass,,,15 to 22 MW and 30 to 60 m stated range,None,Structural uncertainty not quantified,"CAPEX; installation",verified,ISS-0041,Arithmetic checks reproduce
INP-0072,TURB-003,c_MP_range,Finished monopile cost range,"250 to 350",USD2022/kW,sourced_input,@fuchs2024OffshoreCost,Monopile Supply Cost,2022,USD,"12 to 20 MW at 40 m; excludes transport/installation",Convert through METH-003,Range supplied,unit-cost derivation,verified,ISS-0042,
INP-0073,TURB-003,f_TP,Transition-piece cost fraction,"0.50 to 0.75; baseline 0.625",fraction,sourced_input,@fuchs2024OffshoreCost,Monopile Supply Cost,2022,USD,Relative to monopile supply cost,Convert through METH-003,Range supplied,foundation CAPEX,verified,ISS-0043,Mass counterpart missing
INP-0074,H2P-003,P_module,PEM stack module rating,"approximately 1 page; 2.5 code",MW,modelling_assumption,,Modularity,,,Each module,None,Architecture sensitivity,integration,inconsistent,ISS-0048,
INP-0075,H2P-003,l_min,Minimum module load,"approximately 10 page; 9.5 code",percent,modelling_assumption,,Module Switching,,,One active module,None,Operating-condition sensitivity,hydrogen yield,inconsistent,ISS-0048,
INP-0076,H2P-003,d_deg,Stack efficiency degradation,0.18,percent per 1000 FLH,modelling_assumption,,Degradation,,,Linear with accumulated FLH,None,No cited uncertainty,"yield; replacement",unsupported,ISS-0049,
INP-0077,H2P-003,d_EOL,EOL efficiency loss,10,percent,modelling_assumption,,Degradation,,,Replacement threshold,None,No cited uncertainty,replacement timing,unsupported,"ISS-0049; ISS-0050",
INP-0078,H2P-003,c_stack_NREL,Stack manufactured cost at 1000 MW/year,164,USD2020/kW,sourced_input,@badgett2024PEMCost,Cost Model,2020,USD,1 MW NREL reference case,Not completed,Manufacturing-volume sensitivity,stack CAPEX,verified,ISS-0051,
INP-0079,H2P-003,c_stack_adjusted,Adjusted stack cost candidate,"112 before markup; page states 100 EUR/kW CHECK",mixed,derived_assumption,@badgett2024PEMCost,Cost Model,2020,mixed,Altered current density and manufacturing volume,Incorrect/incomplete,High,stack CAPEX,not_verified,ISS-0051,
INP-0080,H2P-004,c_BOP_ref,Non-water BOP purchase-cost reference,333,USD2020/kW,sourced_plus_assumption,@badgett2024PEMCost,NREL Reference Cost,2020,USD,"1 MW land-based; 50 percent markup",Not completed,Offshore applicability uncertain,BOP CAPEX,verified,"ISS-0053; ISS-0055",
INP-0081,H2P-004,c_water_ref,Offshore water-treatment placeholder,63,USD2020/kW,placeholder,@badgett2024PEMCost,Offshore Water Treatment,2020,USD,Land-based water supply with markup,Not completed,Explicitly incomplete,BOP CAPEX,unsupported,ISS-0054,
INP-0082,H2P-004,n_BOP,BOP cost-scaling exponent,0.6,dimensionless,modelling_assumption,@petersTimmerhausWestPlantDesign,Scaling Method,,,Aggregate BOP from 1 MW reference,None,No valid extrapolation range,"central/decentral CAPEX",unsupported,ISS-0053,
INP-0083,H2P-004,e_BOP,Average non-electrical BOP energy,1.0,kWh/kg H2,modelling_assumption,@badgett2024PEMCost,BOP Power Consumption,,,Oversized offshore PEM,None,Range 0.5 to 2.5 discussed,hydrogen yield,inconsistent,ISS-0055,Legacy code uses load-dependent polynomial
INP-0084,H2P-004,w_H2,Water consumption,10,L/kg H2,modelling_assumption,,Desalination,,,Feedwater basis,None,No cited uncertainty,"water flow; desalination power",unsupported,,
INP-0085,H2P-004,e_RO,Reverse-osmosis electricity,5.0,kWh/m3,modelling_assumption,,Desalination,,,Worst-case statement,None,No cited source,BOP power,unsupported,,Gives 0.05 kWh/kg with INP-0084
INP-0086,H2P-005,c_PE,Central 66 kV-to-DC package cost,185,EUR/kW,sourced_assumption,@holst2021ElectrolysisCost,Cost Model,,EUR,Complete purchased conversion package,Missing price-year normalisation,100 to 300 sensitivity,central CAPEX,inconsistent,ISS-0057,Legacy parameter is 100000 per MW
INP-0087,H2P-005,eta_PE,Net central AC-to-DC efficiency,"97.5 page; 98.5 code",percent,modelling_assumption,"@abb2025UNIRECH2; @holst2021ElectrolysisCost",Energy Balance,,,66 kV input to stack DC,None,96 to 98.5 sensitivity,central stack power,inconsistent,ISS-0058,
INP-0088,H2P-005,n_PE,Power-electronics scaling exponent,1.00,dimensionless,modelling_assumption,"@holst2021ElectrolysisCost; @chen2022LargeScaleConverters",Cost Scaling,,,Repeated conversion blocks,None,Block counts not defined,central CAPEX,partially_verified,ISS-0052,
INP-0089,H2P-002,g_DC,Legacy decentralised electric gain,1.025,dimensionless,legacy_code_assumption,,yield_params.yaml,,,Applied after wake farm power,None,No sensitivity,decentral hydrogen yield,inconsistent,ISS-0046,Not documented on source page
INP-0090,H2P-004,c_BOP_code,Legacy BOP cost input,364500,currency/MW,legacy_code_assumption,,hydrogen_params.yaml,,,15 MW reference,None,Currency and price basis unclear,BOP CAPEX,inconsistent,ISS-0055,
INP-0091,H2P-005,c_PE_code,Legacy central electrical BOP cost,100000,currency/MW,legacy_code_assumption,,hydrogen_params.yaml,,,Central architecture,None,Currency and price basis unclear,central CAPEX,inconsistent,ISS-0057,
INP-0092,ELEC-003,P_link,HVDC link rated transfer,2000,MW,sourced_design,"@tennet2024TwoGWProgram; @tennet2025TwoGWStandard",Reference Configuration,,,One complete TenneT link,None,Standard reference,"link count; converter/cable rating",verified,ISS-0023,
INP-0093,ELEC-003,V_pole,Pole voltage,525,kV,sourced_design,"@tennet2024TwoGWProgram; @tennet2025TwoGWStandard",Reference Configuration,,,Bipole with metallic return,None,Fixed reference,"pole current; cable design",verified,,
INP-0094,ELEC-003,I_pole,Full-load pole current,1.905,kA,derived_result,,Reference Configuration,,,2 GW balanced bipole,None,Rounded,"converter; cable losses",verified,,Calculated value 1.90476 kA
INP-0095,ELEC-003,V_collection,Offshore collection voltage,66,kV,sourced_design,@tennet2024TwoGWProgram,Reference Configuration,,,TenneT 2 GW standard,None,Fixed reference,"array/platform interface",verified,ISS-0004,
INP-0096,ELEC-003,n_generation_blocks,Offshore generation blocks,"4 x 500",MW and count,sourced_design,@tennet2024TwoGWProgram,Reference Configuration,,,One 2 GW terminal,None,Discrete,"converter block layout; degraded states",verified,ISS-0063,
INP-0097,ELEC-003,V_grid,Onshore grid voltage,380,kV,sourced_design,"@tennet2024TwoGWProgram; @tennet2025TwoGWStandard",Reference Configuration,,,Dutch standard connection,None,Jurisdiction specific,ELEC-005,verified,ISS-0072,
INP-0098,ELEC-003,c_converter_DEA_2025,DEA onshore DC converter-station 2025 central value,"320; range 250-420",EUR2025/kW,sourced_input,@danishEnergyAgency2025Transport,Converter Cost Model,2025,EUR,"1500-2000 MW onshore DC station including converter transformers AC switchgear busbars filters and ancillary plant",Already 2025 source value,Plus/minus 30 percent source range,converter CAPEX,verified,ISS-0061,Page incorrectly treats this as requiring another escalation
INP-0099,ELEC-003,c_converter_page,Page-adopted two-terminal converter coefficient,"785; range 613-1030",EUR2025/kW,derived_result,@danishEnergyAgency2025Transport,Converter Cost Model,2025,EUR,Two terminals platform excluded,Double escalation applied,Source and offshore-scope uncertainty,LCOE,incorrect,"ISS-0061; ISS-0062",
INP-0100,ELEC-003,eta_terminal,Aggregate converter-terminal efficiency,98.5,percent,modelling_assumption,@hitachiDolWin2,Conversion Losses,,,One terminal including transformation and auxiliaries,None,Fixed with no load curve,"delivered electricity",partially_supported,"ISS-0064; ISS-0074",Comparator reports below 1 percent loss for a different 900 MW system
INP-0101,ELEC-003,A_terminal,Flat converter-terminal availability,98.0,percent,legacy_assumption,,Availability and Degraded Operation,,,Each terminal,None,No evidence,"delivered electricity",unsupported,"ISS-0024; ISS-0025; ISS-0074",
INP-0102,ELEC-004,cable_topology,HVDC cable bundle,"positive pole; negative pole; metallic return; fibre",cable set,sourced_design,"@tennet2024TwoGWProgram; @tennet2025TwoGWStandard",Reference Cable System,,,One 2 GW route,None,Conductor supplier options,"supply; installation; availability",verified,"ISS-0066; ISS-0069",
INP-0103,ELEC-004,A_conductor,Procurement conductor options,"2300 or 2500 Cu; 3100 Al",mm2,sourced_design,@tennet2024TwoGWProgram,Reference Cable System,,,Pole cables,None,Selection rule absent,"resistance; mass; cost",partially_verified,"ISS-0068; ISS-0069",
INP-0104,ELEC-004,R20,Indicative pole-cable resistance,0.0072,ohm/km at 20 C,sourced_input,@prysmian525KVSubmarine,Reference Cable System,,,2500 mm2 copper cable,None,Temperature sensitivity absent,cable loss,verified,ISS-0068,Not a selected project design
INP-0105,ELEC-004,d_cable,Indicative pole-cable diameter,160,mm,sourced_input,@prysmian525KVSubmarine,Reference Cable System,,,2500 mm2 submarine copper cable,None,Approximate,INST-003,partially_verified,ISS-0069,
INP-0106,ELEC-004,m_cable,Indicative pole-cable linear mass,65,kg/m,sourced_input,@prysmian525KVSubmarine,Reference Cable System,,,2500 mm2 submarine copper cable,None,Approximate and not full bundle,INST-003,partially_verified,ISS-0069,
INP-0107,ELEC-004,c_HVDC_material,NREL 2 GW 525 kV bipole material rate,"2.51 million EUR/km; 1.26 EUR/kW/km",mixed,sourced_converted,@brinkman2024AtlanticTransmission,Cable-Supply Cost,,EUR,Material only installation separate,USD divided by 1.13; price escalation unresolved,Topology/accessory uncertainty,"cable CAPEX",partially_verified,"ISS-0065; ISS-0066",
