page_id,batch,page_path,page_type,review_status,readiness_status,review_note,last_reviewed,reviewer,open_blockers,open_major,notes
ELEC-002,B3_electrical,electrical_infra/infield_ac_cables.qmd,calculation,needs_decision,blocked,review/page-reviews/ELEC-002.md,2026-08-21,Codex,4,8,Pilot review reconciled into completed B3 electrical batch
ELEC-003,B3_electrical,electrical_infra/hvdc_converter_stations.qmd,calculation,needs_decision,blocked,review/page-reviews/ELEC-003.md,2026-08-21,Codex,3,3,DEA cost is double-escalated and converter physical/executable ledgers are incomplete
ELEC-004,B3_electrical,electrical_infra/hvdc_export_cables.qmd,calculation,needs_decision,blocked,review/page-reviews/ELEC-004.md,2026-08-21,Codex,4,5,Price year land segment physical inventory and loss-state model are incomplete
ELEC-005,B3_electrical,electrical_infra/onshore_grid_connection.qmd,calculation,needs_decision,blocked,review/page-reviews/ELEC-005.md,2026-08-21,Codex,4,4,PCC route dedicated cost and performance ownership are not closed
H2P-001,B4_h2_production,hydrogen_production/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/H2P-001.md,2026-08-21,Codex,0,0,Needs architecture dataflow and DC-integration link after child pages are settled
H2P-002,B4_h2_production,hydrogen_production/dc_integration.qmd,calculation,needs_decision,blocked,review/page-reviews/H2P-002.md,2026-08-21,Codex,3,0,Credible principle but no verified envelope or quantitative retained-equipment ledger
H2P-003,B4_h2_production,hydrogen_production/stack.qmd,calculation,needs_decision,blocked,review/page-reviews/H2P-003.md,2026-08-21,Codex,6,1,Curve module replacement cost and mass bases are not executable consistently
H2P-004,B4_h2_production,hydrogen_production/balance_of_plant.qmd,calculation,needs_decision,blocked,review/page-reviews/H2P-004.md,2026-08-21,Codex,4,0,Scaling placeholder water cost energy model and mass require closure
H2P-005,B4_h2_production,hydrogen_production/elx_power_electronics.qmd,calculation,needs_decision,blocked,review/page-reviews/H2P-005.md,2026-08-21,Codex,4,1,Cost efficiency mass switchgear and availability are not canonical
H2I-001,B5_h2_infra,hydrogen_infra/overview.qmd,overview,needs_decision,partially_implementable,review/page-reviews/H2I-001.md,2026-08-21,Codex,1,2,"Clear overview; installation-pass claim and endpoint ownership need correction"
H2I-002,B5_h2_infra,hydrogen_infra/infield_infrastructure.qmd,calculation,needs_decision,blocked,review/page-reviews/H2I-002.md,2026-08-21,Codex,7,1,"Length proxy works but no coordinate-based hydraulic network or physical inventory"
H2I-003,B5_h2_infra,hydrogen_infra/compressor.qmd,calculation,needs_decision,blocked,review/page-reviews/H2I-003.md,2026-08-21,Codex,4,4,"Energy equation is conditional; train cost OPEX and physical ledger are unresolved"
H2I-004,B5_h2_infra,hydrogen_infra/hydrogen_pipelines.qmd,calculation,needs_decision,blocked,review/page-reviews/H2I-004.md,2026-08-21,Codex,4,6,"Hydraulics need validation; qualified product and auditable cost basis are absent"
H2I-005,B5_h2_infra,hydrogen_infra/pipeline_pressure_and_capacity.qmd,calculation,needs_decision,blocked,review/page-reviews/H2I-005.md,2026-08-21,Codex,2,2,"Useful synthesis but joint search is not executable"
PLAT-001,B5_h2_infra,platforms/platform_material_capex.qmd,calculation,needs_decision,blocked,review/page-reviews/PLAT-001.md,2026-08-21,Codex,5,0,"Sound boundary; no hosted-mass structural-cost or lift calculation"
INST-001,B6_installation,offshore_installation/overview.qmd,overview,reviewed,partially_implementable,review/page-reviews/INST-001.md,2026-08-21,Codex,0,0,"Correct boundary but incomplete section navigation; only cable/pipeline detail is linked"
INST-002,B6_installation,offshore_installation/turbine_and_foundation_installation.qmd,calculation,reviewed,blocked,review/page-reviews/INST-002.md,2026-08-21,Codex,4,5,"Transparent screening algorithm; turbine occupation coherent spread and upstream mass/lift records block cost"
INST-003,B6_installation,offshore_installation/cable_and_pipeline_installation.qmd,calculation,reviewed,blocked,review/page-reviews/INST-003.md,2026-08-21,Codex,11,9,"Strong physical/spread framework; upstream inventories complete rates and two duration corrections remain open"
INST-004,B6_installation,offshore_installation/platform_and_substation_installation.qmd,calculation,reviewed,blocked,review/page-reviews/INST-004.md,2026-08-21,Codex,7,1,"Suitable campaign structure; physical records commercial inputs and commissioning boundary are unresolved"
REF-001,B7_site_integration,references.qmd,reference,reviewed,partially_implementable,review/page-reviews/REF-001.md,2026-08-21,Codex,0,1,"COR-01A classified all 128 evidence records; source metadata governance remains open for unresolved and incomplete records"
ABOUT-001,B7_site_integration,about.qmd,context,reviewed,partially_implementable,review/page-reviews/ABOUT-001.md,2026-08-21,Codex,0,0,"COR-01A corrected readiness and reproducibility wording; technical readiness result intentionally unchanged"
