parameter,symbol,installation_class,source_value,source_unit,favourable,typical,difficult,model_unit,activities_included,source_price_year,evidence_status,limitation,source_url,source_location,access_date
Complete spread rate,r_spread,320-525 kV HVDC,not found,2026 EUR/day,RFI,RFI,RFI,2026 EUR/day,Contract-defined large CLV and routine support,2026,supplier or contractor input required,Separate burial may be another work package,,,2026-07-31
Cable linear mass,lambda,525 kV HVDC,65,t/km,product,product,product,t/physical-km,One indicative 2500 mm2 Cu submarine cable,not applicable,supported example,Not universal for conductor or design,https://www.prysmian.com/staticres/525-kv-hvdc-new-cable-systems/documents/XLPE-DATASHEET---Submarine.pdf,Datasheet,2026-07-31
Gross vessel storage,M_gross,HVDC export,10000-23000+,t,selected vessel,selected vessel,selected vessel,t,Gross advertised cable capacity,not applicable,supported equipment facts,Usable capacity and partitions govern,https://www.nexans.com/electrification-solutions/markets/transmission/cable-laying-vessel-nexans-aurora/,Vessel specification,2026-07-31
Gross physical length per load,L_load_mass,525 kV HVDC,154 at 10000 t and 65 t/km,physical cable-km,calculate,calculate,calculate,physical cable-km/load,Mass-limited gross product length,not applicable,provisional derived,Apply utilisation partitions accessories and handling limits,https://www.prysmian.com/staticres/525-kv-hvdc-new-cable-systems/documents/XLPE-DATASHEET---Submarine.pdf,Derived from datasheet and vessel capacity,2026-07-31
Continuous manufactured length,L_cont,TCP hydrogen infield,3000-6000,m,supplier,supplier,supplier,m/continuous length,One factory TCP length,not applicable,supported manufacturer claim,Depends on diameter and pressure and is not universal H2 qualification,https://strohm.eu/tcp-flowlines,Product page,2026-07-31
Generic product internal diameter,ID,TCP hydrogen infield/export,up to 7.5,in,named product,named product,named product,in,Generic TCP flowline family,not applicable,contextual only,Maximum not a simultaneous H2 design point,https://strohm.eu/tcp-flowlines,Product page,2026-07-31
Generic product pressure,P_design,TCP hydrogen infield/export,up to 689,bar,named product,named product,named product,bar,Generic TCP flowline family,not applicable,contextual only,Maximum not a simultaneous H2 design point,https://strohm.eu/tcp-flowlines,Product page,2026-07-31
Assets per lay pass,g_lay,TCP hydrogen infield/export,no evidence above 1,physical pipes/pass,1,1,1,physical pipes/pass,Actual simultaneous pipe lay,not applicable,provisional conservative,Public proof required for g greater than 1,,,2026-07-31
Effective production,q_eff,TCP hydrogen infield/export,not found,route-km/day/pass,RFI,RFI,RFI,route-km/day/pass,Routine named method only,not applicable,supplier or contractor input required,Do not transfer steel or flexible pipe rate,,,2026-07-31
Complete spread rate,r_spread,TCP hydrogen infield/export,not found,2026 EUR/day,RFI,RFI,RFI,2026 EUR/day,Named MPSV or flex-lay spread,2026,supplier or contractor input required,Vessel class depends on installation analysis,,,2026-07-31
Connection duration,t_conn,TCP hydrogen infield/export,not found,h/interface,RFI,RFI,RFI,h/interface,J-tube pull field end fitting tie-in and test as separate categories,not applicable,supplier or contractor input required,Manufacturer sources describe work but not duration,https://strohm.eu/tcp-flowlines,Installation description,2026-07-31
Minimum bend radius,MBR,TCP hydrogen infield/export,not found,m,RFI,RFI,RFI,m,Storage and installation bend limits,not applicable,supplier input required,Product and load calculations blocked without datasheet,,,2026-07-31
Linear mass,lambda,TCP hydrogen infield/export,not found,kg/m,RFI,RFI,RFI,kg/m,Dry submerged and weighted product mass,not applicable,supplier input required,Product and load calculations blocked without datasheet,,,2026-07-31
Crossing unit cost,C_cross,all classes,not transferable,2026 EUR/crossing,site,site,site,2026 EUR/crossing,Engineered crossing package,2026,site-specific input required,Geometry materials and third-party requirements dominate,https://www.boem.gov/sites/default/files/renewable-energy-program/Studies/TAP/722AA.pdf,Section 5.3,2026-07-31
Protection unit cost,c_protection,all classes,not transferable,2026 EUR/km,site,site,site,2026 EUR/km or EUR/t,Defined mattress rock or other protection package,2026,site-specific input required,Keep outside normal q_eff,https://www.boem.gov/sites/default/files/renewable-energy-program/Studies/TAP/722AA.pdf,Section 5.3,2026-07-31
Landfall cost,C_landfall,export classes,not transferable,2026 EUR/landfall,site,site,site,2026 EUR/landfall,Defined HDD direct-pipe or open-cut package,2026,site-specific input required,Shore-end pull may still occupy installation vessel,https://www.boem.gov/sites/default/files/renewable-energy-program/Studies/TAP/722AA.pdf,Section 5.3,2026-07-31
